DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
3417,Hicks/McNamara/Lax Warehouse Project,Completed,0,0.018 mgd,TBD,0.018
3410,"Twin Pines Minerals, LLC Heavy Mineral Sands Mine",Completed,0,1.44 mgd maximum,TBD,1.44
3407,Northeast Georgia Medical Center Gainesville Campus Expansion,Completed,0,0.88 mgd average daily flow,TBD,0.88
3406,Warehouses,Completed,0,.01,TBD,.01
3404,Kennemore,Completed,0,0.12,TBD,0.12
3403,Buice Lake South,Completed,0,0.18 (used 200 gallons/day/unit),TBD,0.18 (used 200 gallons/day/unit)
3402,Kicklighter-Hobbs Industrial Park,Completed,0,.055,TBD,.055
3401,McCormick-Exley Tract,Completed,0,+/ -0.017 mgd,TBD,+/ -0.017
3400,Motorplex Atlanta,Completed,0,0.1 mgd,TBD,0.1
3399,Motorplex Atlanta,Withdrawn,0,No water data,TBD,No water data
3397,Cowan Property,Completed,0,0.01,TBD,0.01
3395,Sawnee Village,Completed,0,0.28 mgd,TBD,0.28
3392,Commerce Business Center,Completed,0,0.21 mgd,TBD,0.21
3391,Commerce Business Center,Terminated,0,No water data,TBD,No water data
3388,Enclave at Hoschton,Terminated,0,0.135 mgd,TBD,0.135
3386,ECommerce/Manufacturing facility,Completed,0,0.005 mgd,TBD,0.005
3383,Mixed-Use Development at Peachtree/Wieuca,Completed,0,0.25 mgd,TBD,0.25
3382,Lamar Quarry,Completed,0,"<5,000 gallons per month",TBD,"<5,000 gallons per month"
3381,Ila Road-Cheyenne Land Company,Terminated,0,No water data,TBD,No water data
3380,Foothills at Jasper Village,Completed,0,"1,875",TBD,"1,875"
3378,Emory Graduate and Professional Housing,Completed,0,0.23 mgd,TBD,0.23
3377,Lake Oconee Helms College,Completed,0,"0.1495 millions of gallons per day (149,500 gallons per day)",TBD,"0.1495 millions of gallons per day (149,500 gallons per day)"
3376,Bowen Road Logistics Center,Completed,0,0.017 mgd,TBD,0.017
3372,Worley Cross Roads,Completed,0,"30,000 per day",TBD,"30,000 per day"
3371,Georgia Stone Products Adairsville,Completed,0,"less than 1,000 gallons per day",TBD,"less than 1,000 gallons per day"
3370,Greystone at Oakland Expansion,Additional Form Submitted,0,"53,200",TBD,"53,200"
3368,Barrett 129,Completed,0,0.19,TBD,0.19
3366,Rowen,Completed,0,approximately 0.9 mgd,TBD,approximately 0.9
3363,Meadowlands,Withdrawn,0,ccrc-0.123 mgd/commercial-.039 mgd,TBD,ccrc-0.123
3360,Wayne Poultry Industrial Complex,Completed,0,0.027 mgd,TBD,0.027
3359,Old Louisville Road Warehouses,Completed,0,0.006 mgd,TBD,0.006
3357,Hall Road & Hwy. 319 N,Additional Form Submitted,0,0.064,TBD,0.064
3356,Philadelphia Road Townhomes,Completed,0,.087 mgd,TBD,.087
3355,Project Tarpon,Completed,0,0.05 mgd,TBD,0.05
3354,Concord Road Light Industrial Development,Completed,0,approx. 0.02 mgd,TBD,approx. 0.02
3353,558 West Broad Street,Completed,0,0.1029,TBD,0.1029
3350,Project Paradise II,Completed,0,0.017 mgd,TBD,0.017
3348,Creekside Crossings,Completed,0,0.12,TBD,0.12
3347,The Vineyard at Yukon,Completed,0,0.12,TBD,0.12
3346,Cass White Business Center,Completed,0,0.01 mgd,TBD,0.01
3345,Building 1 and 2 and Container Yard,Completed,0,+/ -0.005 mgd,TBD,+/ -0.005
3341,White Road Site,Completed,0,0.05 mgd,TBD,0.05
3340,Mountain View Village,Completed,0,.075,TBD,.075
3339,Mountain View Village,Withdrawn,0,.075,TBD,.075
3338,Mountain View Village,Withdrawn,0,No water data,TBD,No water data
3337,Mountain View Village,Withdrawn,0,No water data,TBD,No water data
3336,Mountain View Village,Withdrawn,0,No water data,TBD,No water data
3335,Mountain View Village,Withdrawn,0,No water data,TBD,No water data
3334,Mountain View Village,Withdrawn,0,No water data,TBD,No water data
3333,Mountain View Village,Withdrawn,0,No water data,TBD,No water data
3332,Jasper mixed use,Completed,0,"18,750",TBD,"18,750"
3331,Neely Farms,Completed,0,0.74 mgd,TBD,0.74
3329,Commercial / Townhome Development,Completed,0,0.06,TBD,0.06
3325,Meadowlands,Withdrawn,0,No water data,TBD,No water data
3324,Meadowlands,Completed,0,ccrc-0.123 mgd/commercial-.039 mgd,TBD,ccrc-0.123
3320,Del Webb Newnan - Pulte Home,Completed,0,0.35 mgd (400 gpd x 883 residences/1 million),TBD,0.35
3317,Northeast Georgia Medical Center,Completed,0,0.055 mgd,TBD,0.055
3316,Cresswind Kolter,Completed,0,150 mgd,TBD,150
3315,The Oaks Development,Completed,0,0.35 mgd,TBD,0.35
3312,Covington Logistics Park,Completed,0,"building 1 - 0.006, total build out 0.04 mgd",TBD,"building 1 - 0.006, total build out 0.04"
3310,Wayne Poultry Industrial Complex,Withdrawn,0,No water data,TBD,No water data
3309,Davidson Parkway Commerce Center,Completed,0,0.021,TBD,0.021
3308,SPH-21 Industrial Park Phase II,Completed,0,0.032,TBD,0.032
3306,Broadstone @ Moreland,Completed,0,0.055,TBD,0.055
3305,Neely Farms,Withdrawn,0,0.74 mgd,TBD,0.74
3304,RaceTrac - Emerson (Red Top),Completed,0,0.0014 mgd,TBD,0.0014
3303,RaceTrac truck plaza,Terminated,0,"1,400 gallons/day",TBD,"1,400 gallons/day"
3302,Solid Waste Disposal & Recycling Facility and Energy Plant,Withdrawn,0,No water data,TBD,No water data
3301,Neely Farms,Withdrawn,0,No water data,TBD,No water data
3300,Solid Waste Disposal & Recycling Facility and Energy Plant,Withdrawn,0,No water data,TBD,No water data
3299,Englewood South,Completed,0,0.232 mgd,TBD,0.232
3298,Project Granite,Completed,1,0.43 mgd,TBD,0.43
3296,King David Retirement Community,Completed,0,0.177 mgd,TBD,0.177
3295,"Cagle Rd., LLC",Completed,0,0.00375 mgd,TBD,0.00375
3293,Poplar Place Mixed-Use,Completed,0,0.3,TBD,0.3
3292,Chamblee Park,Completed,0,0.4 mgd,TBD,0.4
3290,Sandtown Village,Completed,0,0.200 mgd,TBD,0.200
3286,Fowler Farm,Completed,0,0.132 mgd,TBD,0.132
3284,Southeast Gateway,Completed,0,0.010,TBD,0.010
3283,Davis Tract,Completed,0,No water data,TBD,No water data
3279,Thompson Mill Road Project,Completed,0,0.01 mgd,TBD,0.01
3275,Georgia International Rail Park,Completed,0,",075",TBD,",075"
3274,Brown Road Project,Terminated,0,0.016 mgd,TBD,0.016
3272,Fischer Market Place,DRI Determination Made,0,0.06 mgd,TBD,0.06
3271,MSI Warehouse Facility,Completed,0,0.06,TBD,0.06
3270,SPH-21 Industrial Park,Completed,0,No water data,TBD,No water data
3269,Parker's #16 Truck Stop Expansion,Completed,0,0.001 mgd,TBD,0.001
3267,Junction Events,Terminated,0,150,TBD,150
3266,Union City Commerce Center,Completed,0,0.02 mgd,TBD,0.02
3265,"Atlas Organics CU06, LLC",Withdrawn,0,No water data,TBD,No water data
3264,"Atlas Organics CU06, LLC",Completed,0,.0007 mgd; possible increase of .0002 mgd during dry seasons,TBD,.0007
3260,Dawson Forest - SR 53 Tract,Completed,0,0.095 mgd,TBD,0.095
3259,Walden Park,Terminated,0,No water data,TBD,No water data
3258,Walden Park,Terminated,0,No water data,TBD,No water data
3257,Waldon Park,Completed,0,.2422 mdg,TBD,.2422 mdg
3256,Waldon Park,Terminated,0,No water data,TBD,No water data
3255,Accent Springs,Completed,0,0.10,TBD,0.10
3254,Tom Miller Road Project,Completed,0,0.157,TBD,0.157
3252,300 Marketplace,Completed,0,.5501,TBD,.5501
3250,Midway Distribution Center,Completed,0,.015 mgd,TBD,.015
3249,Parker's Kitchen Ellabell,Completed,0,0.016 mgd,TBD,0.016
3248,Harmony Gee,Completed,0,.000095,TBD,.000095
3246,PROJECT OAK,Completed,0,0.036 mgd,TBD,0.036
3244,DG Development Partners LCC -Sardis Church Rd Truckstop,Completed,0,0.00438,TBD,0.00438
3240,Stanton Springs Master Plan,Completed,0,1 mgd,TBD,1
3239,Project Fortune,Completed,0,0.65,TBD,0.65
3237,Titan Readymix LLC,Completed,0,0.015--0.02 mgd,TBD,0.015--0.02
3236,South Highway 41 Industrial Development,Completed,0,unknown,TBD,unknown
3235,Mayson Avenue Development,Completed,0,0.19 mgd - note there will be an estimated decrease from today with the manufacturing plant going of,TBD,0.19
3234,Dakota Commerce,Completed,0,0.031,TBD,0.031
3220,Oconee Mercantile,Completed,0,0.055 mgd,TBD,0.055
3219,Anguilla Mine,Completed,0,tbd,TBD,tbd
3216,Speedway Commerce Center,Completed,0,0270 mgd,TBD,0270
3215,"Mayfield Natural Resources, LLC",Completed,0,".02 -.03 mgd (20,000 - 30,000 gallons)",TBD,.02 -.03
3214,BLACKHALL STUDIOS ATLANTA - PHASE II,Completed,0,0.0067 mgd,TBD,0.0067
3213,Kilburn/Gravel Springs Road,Completed,0,.025 mgd,TBD,.025
3212,City of Flowery Branch WRF Expansion,Completed,0,No water data,TBD,No water data
3208,Read Holdings Waste Transfer @ Beaver Ruin Road,Completed,0,.000083,TBD,.000083
3207,Inland Pass: A Planned Mixed Use Development,Completed,0,0.232279 mgd,TBD,0.232279
3206,Chosewood Development,Completed,0,"300,000",TBD,"300,000"
3205,Homestead,Completed,0,0.3025,TBD,0.3025
3204,General Time,Completed,0,0.06999,TBD,0.06999
3202,Palmetto Downs,Completed,0,0.258,TBD,0.258
3201,Seaboard Golden Isles Parkway Inert Landfill,Completed,0,500 gpd,TBD,500 gpd
3200,Project falcon,Completed,0,No water data,TBD,No water data
3198,Gordon Road Project  f/k/a Saturday Tract,Completed,0,.187 mgd,TBD,.187
3197,The Stiles (planned unit development),Completed,0,0.2 mgd,TBD,0.2
3196,Tussahaw Quarry,Completed,0,developer estimates .1 mgd,TBD,developer estimates .1
3192,Oconee Connector Center,Completed,0,0.072 mgd,TBD,0.072
3188,Project Cobra,Completed,0,0.03 mgd,TBD,0.03
3187,Terry's Truck Parking & Storage,Completed,0,No water data,TBD,No water data
3186,Cedar Grove Villages,Withdrawn,0,No water data,TBD,No water data
3182,Dawson Forest-SR 53 Tract,Completed,0,0.039 mgd,TBD,0.039
3180,Dawson Forest Subdivision,Completed,0,No water data,TBD,No water data
3179,Woodland Creek,Completed,0,0.25 mgd,TBD,0.25
3178,Heritage on the Lake,Completed,0,0.35 mgd,TBD,0.35
3175,Rockingham Business and Industrial Park,Completed,0,1.105 mgd,TBD,1.105
3174,Georgia Highway 9 Subdivision,Completed,0,0.032007,TBD,0.032007
3172,Jones Petroleum Travel Center Social Circle,Completed,0,0.033 mgd,TBD,0.033
3171,Gate 6 Office Complex,Completed,0,+/- 0.098 mgd,TBD,+/- 0.098
3169,Circle 75,Completed,0,0.30 mgd,TBD,0.30
3167,The Oaks at Dawson,Completed,0,.183 mgd,TBD,.183
3166,JCB Industrial Property,Completed,0,0.018 mgd,TBD,0.018
3162,Qtrip,Completed,0,"6,000",TBD,"6,000"
3161,BARTOW TRANSWESTERN INDUSTRIAL PARK,Completed,0,0.012,TBD,0.012
3160,Southeast Data Center campus,Completed,1,0.0175,TBD,0.0175
3157,QTrip,Terminated,0,"6,000",TBD,"6,000"
3156,Bragg Tract,Completed,0,0.17mgd,TBD,0.17mgd
3153,CA Ventures Falcon Parkway,Completed,0,.001 mgd,TBD,.001
3151,U.S. Highway 80 North Bryan County Industrial Tracts,Completed,0,+- 0.210 mgd,TBD,+- 0.210
3147,Flemington Village Expansion,Completed,0,0.21 mgd,TBD,0.21
3146,Dawson Village,Completed,0,0.45 mgd,TBD,0.45
3144,Westfield Village,Completed,0,0.1866,TBD,0.1866
3141,Jesse Cronic Road Tract,Completed,0,.126 mgd,TBD,.126
3136,2400 Lexington Road,Completed,0,0.121,TBD,0.121
3134,Love's Truck Stops & Country Stores,Completed,0,.01 mgd,TBD,.01
3133,Lake Hearn,Completed,0,0.1 mgd (average),TBD,0.1
3132,YELLOWSTONE LLC REZONING APPLICATION FOR MINING,Completed,0,No water data,TBD,No water data
3131,GT Technology Enterprise Park,Completed,0,0.50 mgd,TBD,0.50
3130,Old Augusta Industrial Park,Completed,0,0.075,TBD,0.075
3129,Cumberland Mall,Completed,0,0.247 mgd,TBD,0.247
3127,Cumberland Inlet,Completed,0,0.538 mgd,TBD,0.538
3126,Gibbs Nation Semi and Rv Station Truck Stop,Completed,0,.000055,TBD,.000055
3125,High River,Completed,0,.10,TBD,.10
3124,Baldwin Village,Completed,0,.2mgd,TBD,.2mgd
3123,Baldwin Village,Withdrawn,0,No water data,TBD,No water data
3121,Stone Tract,Completed,0,0.2 mgd,TBD,0.2
3120,Tillery park,Terminated,0,0.229 +/-,TBD,0.229 +/-
3119,Thorton Business park,Completed,0,"100,000 gdp",TBD,"100,000 gdp"
3115,Green Rock Quarry,Completed,0,0.0001 mgd,TBD,0.0001
3114,Woodland Hills Subdivision,DRI Determination Made,0,0.2 mgd,TBD,0.2
3110,Bloomingdale Industrial Park,Completed,0,No water data,TBD,No water data
3109,Quiktrip #7136,Completed,0,not known,TBD,not known
3105,Cedar Shoals Mixed-Use,Completed,0,1.02 mgd,TBD,1.02
3103,Thomas Concrete,Completed,0,.01 mgd,TBD,.01
3102,Scott Road Development,Completed,0,0.10 mgd,TBD,0.10
3098,Thomas Concrete Recycling,Withdrawn,0,No water data,TBD,No water data
3097,Bolton Mixed Use,Completed,0,0.36 mgd,TBD,0.36
3096,Chappell Road,Completed,0,0.21 mgd,TBD,0.21
3095,Riverview Site,Completed,0,<1 mgd,TBD,<1
3094,1020 Spring Street,Completed,0,0.36 mgd,TBD,0.36
3092,Kelly Tract,Completed,0,+/- 0.042 mgd,TBD,+/- 0.042
3090,The Preserve,Completed,0,.214 mgd,TBD,.214
3089,Haggard Road Industrial,Completed,0,.025 mgd,TBD,.025
3088,Unnamed (at this time),Initial Form Submitted,0,No water data,TBD,No water data
3085,Northwoods,Completed,0,0.228,TBD,0.228
3084,Greenpoint,Completed,0,0.7 mgd,TBD,0.7
3083,Gainesville 85 Business Park,Completed,0,1.1 mgd,TBD,1.1
3082,Bana 85 Commerce Center,Completed,0,"150,000 gpd",TBD,"150,000 gpd"
3080,Riverside West Business Park,Completed,0,"125,000",TBD,"125,000"
3078,Baldwin Cherokee County Asphalt Plant Site,Completed,0,1 mgd,TBD,1
3077,MFT Braselton Highway Tract,Completed,0,"170,000",TBD,"170,000"
3075,International Parkway Phase II,Completed,0,0.06 mgd,TBD,0.06
3073,Gillem Logistics Center,Completed,0,0.71 mgd,TBD,0.71
3072,IDI Douglasville,Completed,0,"100,0 gdp",TBD,"100,0 gdp"
3069,Seefried Industrial Properties,Completed,0,"20,000 gallons per day",TBD,"20,000 gallons per day"
3068,Hubbard Road,Initial Form Submitted,0,No water data,TBD,No water data
3065,White Oak-Lot D1,Completed,0,0.0345,TBD,0.0345
3063,"College Park ""Airport City""",Completed,0,.79 mgd,TBD,.79
3061,Wastewater Treatment Facility Expansion,Completed,0,0.005,TBD,0.005
3060,Savannah Arena,Completed,0,estimated useage of event days is 0.0465mgd and 0.012mgd on non-event days,TBD,estimated useage of event days is 0.0465mgd and 0.012mgd on non-event days
3057,Buford Commerce Park,Completed,0,"16,075 gpd",TBD,"16,075 gpd"
3056,QuikTrip 7137,Completed,0,No water data,TBD,No water data
3054,Distribution Center of LIDL Georgia,Completed,0,0.07 mgd,TBD,0.07
3053,TimberVest-Senoia,Withdrawn,0,No water data,TBD,No water data
3051,Saturday Tract,Withdrawn,0,No water data,TBD,No water data
3050,Woodward Mill Road Tract,Completed,0,0.159 mgd,TBD,0.159
3049,Garden Lakes,Completed,0,"373,260",TBD,"373,260"
3046,Braselton Highway Mixed-use Development,Completed,0,0.096 mgd,TBD,0.096
3045,Main Gate Logistics,Completed,0,No water data,TBD,No water data
3042,Green Meadows Solid Waste Disposal & Recycling Facility,Completed,0,"less than 1,000 gallons per day (0.001 mgd)",TBD,"less than 1,000 gallons per day (0.001"
3040,Emerson Logistics,Completed,0,No water data,TBD,No water data
3039,Mt. Zion & Richardson,Completed,0,".044 mgd = (886,600 sf * 0.05gpd/sf)",TBD,.044
3038,Downtown Re-Development,Completed,0,0.25 mgpd,TBD,0.25
3037,Celebration Village Age in Place Retirement Community,Completed,0,0.05346,TBD,0.05346
3036,Hwy 247- Allen Rd Convenience Store,Completed,0,.000048,TBD,.000048
3035,25.36 acres on Lumpkin Campground Road,Completed,0,.0318 mgd,TBD,.0318
3033,The Grove at Towne Center,Completed,0,"128,838 average gpd",TBD,"128,838 average gpd"
3032,Oakmont,Completed,0,0.01354 mgd,TBD,0.01354
3031,Kilough-400 Tract,Completed,0,0.149 mgd,TBD,0.149
3030,The Works,Completed,0,0.37 mgd,TBD,0.37
3029,McDonald Development Company,Completed,0,0.0654,TBD,0.0654
3027,Bright Star Connector,Completed,0,0.15 mgd,TBD,0.15
3023,Commerce Point,Terminated,0,No water data,TBD,No water data
3020,Palmetto Site,Completed,0,0.046,TBD,0.046
3018,Dawson Forest Rd. Multi-Use Project,Withdrawn,0,No water data,TBD,No water data
3017,The Preserve at Grove Creek,Withdrawn,0,No water data,TBD,No water data
3015,Quick Trip Travel Center,Completed,0,No water data,TBD,No water data
3013,Southern Ready-Mix Plant,Completed,0,0.02 mgd,TBD,0.02
3011,Hampton Ready Mix Concrete Plant and Gasoline Station,Terminated,0,No water data,TBD,No water data
3009,Big Creek Asphalt Plant,Completed,0,0.0002,TBD,0.0002
3008,Logistics 16 at Ottawa Farms,Completed,0,0.031 mgd,TBD,0.031
3005,Wolf Creek WPCP Expansion,Completed,0,0.0005,TBD,0.0005
3004,Love's Travel Stops & Country Stores,Additional Form Submitted,0,.01 mgd,TBD,.01
3003,IDI - Northwest Business Center,Completed,0,.0125,TBD,.0125
3002,Iron Mountain Park,Completed,0,0.050,TBD,0.050
3000,Fall Leaf Residential,Completed,0,"300 gal x 150 units = 4,500",TBD,"300 gal x 150 units = 4,500"
2999,"Reymac Investments, LLC",Completed,0,0.010,TBD,0.010
2998,Fowler Flemister Concrete Plant,Completed,0,0.004-0.006 mgd,TBD,0.004-0.006
2996,Reeves Creek,Completed,0,0.79,TBD,0.79
2993,Quarry Yards,Completed,0,0.25 mgd,TBD,0.25
2991,99-125 Ted Turner Drive,Completed,0,0.20 mgd,TBD,0.20
2990,Boling Tract,Completed,0,0.10 mgd,TBD,0.10
2987,Galloway Tract,Completed,0,+/- 0.175,TBD,+/- 0.175
2986,Vulcan Materials hwy 140 project,Completed,0,No water data,TBD,No water data
2984,Travel Center of America Stopping Center,Completed,0,.0056,TBD,.0056
2983,Rock Quarry -- 2019,Completed,0,less than a million per day,TBD,less than a million per day
2982,River Park,Completed,0,"207,825",TBD,"207,825"
2980,"Georgia Stone Products, LLC - Ready-mix concrete plant",Completed,0,No water data,TBD,No water data
2979,"Georgia Stone Products, LLC - Mine expansion/industrial park",Completed,0,0.0928 mgd,TBD,0.0928
2978,LANIER OIL TRUCK STOP,Additional Form Submitted,0,0.003 mgp,TBD,0.003 mgp
2977,"SWAMI PM, LLC TRUCK STOP",Initial Form Submitted,0,No water data,TBD,No water data
2976,BTD - 702 Lumpkin Campground Road,Completed,0,0.04 mgd,TBD,0.04
2974,Love's Travel Stops and Country Stores,DRI Determination Made,0,0.012 mgd,TBD,0.012
2973,Dean Forest Rd Asphalt Plant,Completed,0,No water data,TBD,No water data
2966,Dean Forest Logistics Park,Completed,0,No water data,TBD,No water data
2965,Dean Forest Logistics Park,Withdrawn,0,No water data,TBD,No water data
2964,Austell Site,Completed,0,0.0145 mgd,TBD,0.0145
2963,Ozora Road Solid Waste Transfer Station,Terminated,0,No water data,TBD,No water data
2962,Emory at Executive Park,Completed,0,0.51 mgd,TBD,0.51
2961,Lithonia Distribution Center,Completed,0,0.0070mgd,TBD,0.0070mgd
2959,Southern Ready Mix,Completed,0,"15,000 gallons per day",TBD,"15,000 gallons per day"
2958,Braselton Circuit,Completed,0,<1m,TBD,<1m
2955,Penler Dawsonville,Completed,0,0.072 million gallons per day,TBD,0.072 million gallons per day
2951,Fountainhead Development Hwy 124,Completed,0,.0133,TBD,.0133
2949,AU Medical Center,Completed,0,+/- 0.097 mgd,TBD,+/- 0.097
2945,The Exchange @ Gwinnett,Completed,0,0.36 mgd,TBD,0.36
2944,Dawson Forest Planned Community,Completed,0,varies with development,TBD,varies with development
2943,Love's Travel Stops,Completed,0,.015 mgd,TBD,.015
2940,White Oak Business Park Expansion,Terminated,0,unknown,TBD,unknown
2939,Gardner 42 Expansion,Completed,0,0.080 mgp,TBD,0.080 mgp
2938,Sugar Hill Distribution Center,Completed,0,.0145 mgd,TBD,.0145
2937,Vulcan Materials hwy 140 project,Withdrawn,0,0.02 mgd,TBD,0.02
2936,Busch Commerce Park,Completed,0,0.8175,TBD,0.8175
2935,Southern Readymix,Completed,0,0.02 mgd,TBD,0.02
2934,Huber Street Ready-Mix Concrete Plant,Completed,0,8-10 million gallons/year (3 million from city of atlanta water),TBD,8-10 million gallons/year (3 million from city of atlanta water)
2931,M LYDER LOGISTICS INC,Completed,0,minimal,TBD,minimal
2930,PROJECT X,Completed,0,0.061 mgd,TBD,0.061
2929,Marietta Boulevard Mixed Use,Completed,0,0.208 mgd,TBD,0.208
2928,Evans Concrete Plant,Completed,0,No water data,TBD,No water data
2927,Evans Concrete Plant,Completed,0,No water data,TBD,No water data
2926,Fairburn Travel Center,Completed,0,$0,TBD,$0
2921,270 Tallassee Road,Completed,0,0.15345 mgd,TBD,0.15345
2920,CIRCLE K,Completed,0,0 mgd,TBD,0
2919,Reames Concrete,Withdrawn,0,No water data,TBD,No water data
2918,Reames Concrete,Completed,0,"15,000-20,000 gallons per day",TBD,"15,000-20,000 gallons per day"
2917,Fowler Flemister Cement Plant,Completed,0,0.005 mgd,TBD,0.005
2916,1908 Hall Road Union City,Completed,0,0.162 mgd,TBD,0.162
2915,85 South Commerce,Completed,0,.10,TBD,.10
2913,Project Southern DC,Completed,0,0.0005 mgd,TBD,0.0005
2911,Reveille,Completed,0,approximately 3.6mgd,TBD,approximately 3.6mgd
2910,I-75 North Logistics Center,Completed,0,0.1786 mgd,TBD,0.1786
2909,Love Truck Stop,Completed,0,.0737 mgd,TBD,.0737
2906,Stockbridge International Business Center,Terminated,0,No water data,TBD,No water data
2905,Etowah Village,Completed,0,1.00 mgd,TBD,1.00
2904,Villas at Howser Mill,Completed,0,0.05 mgd,TBD,0.05
2903,Hog Mountain Rd. & Storey Ln. Mixed Use,Terminated,0,unknown,TBD,unknown
2901,"Baldwin Paving Company, Inc.(BPC)",Completed,0,"approximately 18,000 gallons per month (very low mgd)",TBD,"approximately 18,000 gallons per month (very low"
2900,The Villages at Victoria Station,Terminated,0,1 million gallons per day at buildout,TBD,1 million gallons per day at buildout
2899,75 South Logistics Center,Terminated,0,No water data,TBD,No water data
2898,William Marie Highway 186 Soil Borrow Pit,Completed,0,negligible,TBD,negligible
2897,Atlanta Dairies,Completed,0,0.18,TBD,0.18
2896,College Park Hotel Mixed-Use,Completed,0,0.18 mgd,TBD,0.18
2895,Capstone at Blossom Creek,Completed,0,.16,TBD,.16
2893,Orchid Grove,Completed,0,0.67 mgd,TBD,0.67
2892,Red Oak Subdivision,Initial Form Submitted,0,No water data,TBD,No water data
2890,Crystal Falls,Completed,0,.276,TBD,.276
2887,Project Fusion,Completed,0,0.3 mgd,TBD,0.3
2886,Westland,Terminated,0,0.125,TBD,0.125
2884,Parkside,Terminated,0,0.267,TBD,0.267
2881,Woodland Trail Phase IV,Completed,0,0.051 mgd,TBD,0.051
2879,Weldon Commerce Center,Completed,0,0.16 mgd total,TBD,0.16
2877,Fort McPherson Redevelopment,Completed,0,1.09,TBD,1.09
2876,Westshore,Completed,0,0.28,TBD,0.28
2873,Quik Trip No. 1848,Completed,0,.002405 mgd,TBD,.002405
2872,"ProSoccer Stadium Complex, Commercial & Mixed Use Development",Completed,0,.245 mgd,TBD,.245
2870,Fowler Flemister Concrete,Terminated,0,No water data,TBD,No water data
2869,Fowler Flemister Concrete,Completed,0,"0.005 mgd  (5,000 gallons per day)",TBD,0.005
2867,75 South Logistics Center,Completed,0,"0.033 mgd (32,500 gpd)",TBD,0.033
2866,Encore by Ashton Woods Homes,Completed,0,tbd,TBD,tbd
2863,Gateway Village,Completed,0,0.188 mgd,TBD,0.188
2862,"Wolf Creek Landfill, LLC Horizontal Expansion",Completed,0,0.00015,TBD,0.00015
2861,Austell Site,Withdrawn,0,No water data,TBD,No water data
2860,P & L Big Shanty Road,Completed,0,0.33,TBD,0.33
2858,The Avemore Village,Completed,0,0.33 mgd,TBD,0.33
2855,Rockdale Logistics Center,Completed,0,"24,330 gpd",TBD,"24,330 gpd"
2854,Crossroads Business Center,Completed,0,0.0216 mgd,TBD,0.0216
2852,Steven B. Tanger Warehouse,Completed,0,"21,775 gpd",TBD,"21,775 gpd"
2851,Nichiha,Terminated,0,0.3 mgd,TBD,0.3
2850,"Pooler Distribution Complex, Phase II",Completed,0,0.010 mgd,TBD,0.010
2849,Stanton Industrial,Completed,0,.0075,TBD,.0075
2848,The Villages at Brooks Farm,Completed,0,0.1622,TBD,0.1622
2847,Residential Development (Carlos Cowart Rd. and HWY 204),Completed,0,"75,000",TBD,"75,000"
2846,"Waste Water Treatment Facility Expansion, Phase 1, 2 & 3",Completed,0,0.1 mgd,TBD,0.1
2845,Mountain Brook Phase II,Withdrawn,0,.35,TBD,.35
2844,"Ryals Tract, Morgan Tract & Tuten Tract Mixed-Use",Completed,0,No water data,TBD,No water data
2842,Waste Water Treament Facility Expansion,Terminated,0,0.05 mgd,TBD,0.05
2841,Braselton Logistics Center Phase II,Terminated,0,0.44,TBD,0.44
2838,New Hampstead,Completed,0,2.6 mgd,TBD,2.6
2837,Watergrass Subdivision,Completed,0,0.041 mgd,TBD,0.041
2836,Enmarket Gas Station/Truck Stop,Completed,0,.00150,TBD,.00150
2834,The Exchange @ Gwinnett,Completed,0,0.210 mgd,TBD,0.210
2832,Bill Wright Road - Clarion,Completed,0,"23,850 gpd",TBD,"23,850 gpd"
2831,Twin Lakes,Completed,0,0.643 mgd,TBD,0.643
2830,Founders Studio & Founders Square,Completed,0,.10954,TBD,.10954
2829,Barnwell Tract 818k Warehouse,Completed,0,No water data,TBD,No water data
2828,Parker's Gas Station/Truck Stop,Completed,0,.00175,TBD,.00175
2827,BUCKHEAD EAST PHASES 10 & 11,Completed,0,No water data,TBD,No water data
2826,EXPANSION OF TIFT COUNTY INDUSTRIAL PARK,Withdrawn,0,No water data,TBD,No water data
2823,Morgan Industrial Port Logistics Center,Completed,0,No water data,TBD,No water data
2822,Revel/ Infinite Energy Center,Completed,0,0.95 mgd,TBD,0.95
2821,1125 Peachtree,Completed,0,0.15 mgd,TBD,0.15
2820,Decatur Landing,Completed,0,0.0175 mgd,TBD,0.0175
2818,Bartram ADM Properties,Completed,0,.000211,TBD,.000211
2817,General Time,Withdrawn,0,No water data,TBD,No water data
2816,Jackson Logistice Center,Completed,0,0.012,TBD,0.012
2815,1060 Hollowell,Completed,0,0.43 mgd,TBD,0.43
2814,Echo Street,Completed,0,0.42 mgd,TBD,0.42
2813,The Villages of Victoria Station,Withdrawn,0,No water data,TBD,No water data
2811,The Villages of Victoria Station,Completed,0,"1,400,000 gallons per day at full buildout (approximate)",TBD,"1,400,000 gallons per day at full buildout (approximate)"
2810,Covington Town Center,Completed,0,0.44mgd at build out,TBD,0.44mgd at build out
2809,Equinox Corporate Campus,Completed,0,0.063,TBD,0.063
2808,Lower Woolsey Henry 780,Completed,0,0.2,TBD,0.2
2807,Project Rocket,Completed,0,0.105 mgd,TBD,0.105
2806,Long Cane Creek,Completed,0,0.14,TBD,0.14
2804,Friendship Village,Completed,0,.10mgd,TBD,.10mgd
