DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
1532,Highland Park Gardens,Completed,0,0.095,TBD,0.095
1530,North Georgia Village,Completed,0,"175,000 gpd",TBD,"175,000 gpd"
1529,Iris Court,Completed,0,.08,TBD,.08
1528,"Oaky Woods Properties,LLC",Withdrawn,0,"2,000,000",TBD,"2,000,000"
1526,Lampadoshia Planned Development,Terminated,0,No water data,TBD,No water data
1525,Lampadoshia Planned Development,Completed,0,602 mgd at 100% buildout,TBD,602
1523,U.S. HWY 27 S. Planned Unit Development and Highway Commercial Development,Completed,0,"58,000 per day",TBD,"58,000 per day"
1521,Colwell Road - I-75 Zoning Plan,Completed,0,"101,810 gpd (0.10 million gallons per day)",TBD,"101,810 gpd (0.10 million gallons per day)"
1520,245 Perimeter Center DRI,Completed,0,0.336,TBD,0.336
1519,Turtle River CID,Completed,0,1.98 mgd,TBD,1.98
1517,Parkview Plaza Mixed-Used Complex,Completed,0,0.08 mgd,TBD,0.08
1514,Light Horse Country Subdivision,Completed,0,0.285,TBD,0.285
1512,SERENITY,Completed,0,0.21 mgd,TBD,0.21
1511,West Georgia Industries South Flat Rock,Completed,0,.01mgd,TBD,.01mgd
1510,Villa More,Completed,0,0.18 mgd,TBD,0.18
1509,"LaFarge Building Materials, Inc.",Completed,0,0.01,TBD,0.01
1508,Dixie Tract and Laura Anna Tract,Withdrawn,0,No water data,TBD,No water data
1506,Magnolia Springs Subdivision,Withdrawn,0,No water data,TBD,No water data
1503,Lakeside,Completed,0,0.374 mgd,TBD,0.374
1501,Button Gwinnett Solid Waste Transfer Station,Completed,0,.0001 mgd,TBD,.0001
1500,Mallard Pond Residential Development,Completed,0,.06,TBD,.06
1499,Newton Tract,Completed,0,.12,TBD,.12
1497,Averitt Truck Terminal,Terminated,0,No water data,TBD,No water data
1495,The Terraces,Completed,0,0.082,TBD,0.082
1494,Wallace Crossing,Completed,0,"135,000 gpd",TBD,"135,000 gpd"
1493,60-64 Mangum Street,Completed,0,0.094,TBD,0.094
1491,Pilot Travel Center,Completed,0,0.008,TBD,0.008
1489,Cowart & Son Storage & Rolloff,Terminated,0,No water data,TBD,No water data
1487,Bradley Park,Completed,0,"150,000 gpd",TBD,"150,000 gpd"
1485,WHEATFIELDS RESERVE PHASE 3,Terminated,0,No water data,TBD,No water data
1484,"Recycle USA, Inc./U.S. Ethanol, LLC",Initial Form Submitted,0,No water data,TBD,No water data
1483,North Newport Plantation,Completed,0,.59 mgd,TBD,.59
1481,Waterstone Landing,Withdrawn,0,No water data,TBD,No water data
1480,Dean Forest Business Park,Completed,0,0.017 mgd,TBD,0.017
1479,Proposed Residential Development with Neighborhood Commercial Center,Completed,0,.17 mgd,TBD,.17
1478,"Residential Planned Unit Development, 31st Avenue S.E., Moultrie, GA 31768",Completed,0,.074,TBD,.074
1476,Thirty-Third Latitude Properties- 131-151 Ponce de Leon Ave. NE,Completed,0,.30 mgd,TBD,.30
1475,400 Terminus,Completed,0,.06 mgd,TBD,.06
1474,Rinker Materials Hitchcock Quarry Expansion,Completed,0,No water data,TBD,No water data
1472,Birch River,Completed,0,0.36 mgd,TBD,0.36
1470,Deerfield Place,Completed,0,0.050 mgd,TBD,0.050
1469,Grantville Industrial,Completed,0,0.05 mgd,TBD,0.05
1468,Temple-Inland Tract,Completed,0,"14,215 gpd",TBD,"14,215 gpd"
1464,Park 85 Site A,Completed,0,.09 mgd,TBD,.09
1462,Wellington,Terminated,0,0.073,TBD,0.073
1460,Schultz-Butner Road Tract (Hawks Ridge),Completed,0,.183 mgd,TBD,.183
1458,Holder Properties - Woodstock Mixed Use,Withdrawn,0,No water data,TBD,No water data
1457,The Shoals at Asbury Mill,Withdrawn,0,0.056,TBD,0.056
1455,Cowart & Son Storage & Rolloff,Terminated,0,No water data,TBD,No water data
1453,"General Protecht U.S., Inc.",Completed,0,.025,TBD,.025
1452,BLT Project,Completed,0,0.2 mgd,TBD,0.2
1451,Lovejoy Realty FBO,Completed,0,0.149 mgd,TBD,0.149
1448,Twiggs County Industrial Park and Academy Sports Distribution Center,Completed,0,"less than 1 million gallons per day (specifically 15,000 or .015 mgd)",TBD,"less than 1 million gallons per day (specifically 15,000 or .015"
1447,Panola Road Mixed Use Development,Completed,0,0.09 mgd,TBD,0.09
1446,JF Gill Tract,Completed,0,0.09,TBD,0.09
1445,Southern Wind,Completed,0,.15,TBD,.15
1444,Reatter Lonon Country Villa,Completed,0,to be determined during engineering phase,TBD,to be determined during engineering phase
1443,Hammett Road Residential Development,Completed,0,.152mgd,TBD,.152mgd
1442,Highland Park,Completed,0,0.75 mgd,TBD,0.75
1441,Kingston at Lake Oconee,Completed,0,0.756 mgd per developers estimate,TBD,0.756
1440,Tranquility at Legacy Mountain,Terminated,0,No water data,TBD,No water data
1439,The Village at Vinings,Completed,0,0.134 mgd,TBD,0.134
1438,Stone Crossing,Terminated,0,No water data,TBD,No water data
1436,Fox Plaza,Withdrawn,0,No water data,TBD,No water data
1435,Buckhead Avenues Parcel I,Completed,0,0.425 mgd,TBD,0.425
1433,Briarcliff Development,Withdrawn,0,No water data,TBD,No water data
1432,High Street,Completed,0,"0.16 mgd (new), 0.17 mgd (total)",TBD,0.16
1431,Wal-Mart Center /Hwy 20/ZA 3421,Completed,0,"88,727 gpd",TBD,"88,727 gpd"
1428,"Jones Lang LaSalle Americas, Inc.",Completed,0,.110,TBD,.110
1426,Rumble Road Industrial Park,Completed,0,.0293 mgd,TBD,.0293
1425,Highland Landings,Completed,0,0.483 mgd,TBD,0.483
1423,SR 82 Distribution Site,Completed,0,"0.02 mgd average, 0.05 mgd peak",TBD,0.02
1422,Driggers Kingsland Southern Tract,Completed,0,.20,TBD,.20
1421,Oconee Towne Center,Completed,0,0.1736 mgd,TBD,0.1736
1420,The Peninsula at Golden Isles,Completed,0,1.8 mgd,TBD,1.8
1419,Oconee Towne Center,Withdrawn,0,No water data,TBD,No water data
1418,Johns Creek Walk II,Completed,0,"77,567",TBD,"77,567"
1417,Etowah River Tract,Withdrawn,0,No water data,TBD,No water data
1416,Etowah River Tract,Completed,0,0.44,TBD,0.44
1414,Village Park Subdivision,Completed,0,.07,TBD,.07
1413,Timberland Subdivision,Completed,0,0.67 mgd,TBD,0.67
1411,Sugar Hill Marketplace,Completed,0,0.080 mgd,TBD,0.080
1409,Loganville Commons,Completed,0,0.024 mgd,TBD,0.024
1407,Crawford Village,Completed,0,"113,000 gpd",TBD,"113,000 gpd"
1406,Newnan Vista,Completed,0,.19 mgd,TBD,.19
1404,Flying J Truck Stop,Completed,0,capacity not addressed by applicant; only system design.,TBD,capacity not addressed by applicant; only system design.
1402,Eastside Village,Completed,0,0.193 mgd,TBD,0.193
1400,Lee Green Cassidy Road Project,Completed,0,.085,TBD,.085
1399,Potts Mountain @ Big Canoe,Completed,0,No water data,TBD,No water data
1398,Harmony Village,Completed,0,.47 mgd,TBD,.47
1396,Joint Wal-Mart and Lowe's Development,Completed,0,No water data,TBD,No water data
1395,Grant & Grant Development,Terminated,0,No water data,TBD,No water data
